Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Approval Status,Approval Date,Origin
Dardanus Sulcus,Ganymede,1500.00,-31.50,12.70,"Planetographic, +West, 0 - 360",Approved,1979,Greek; where Ganymede was abducted by Zeus disguised as an eagle.
Dendera,Ganymede,82.00,-1.12,255.46,"Planetographic, +West, 0 - 360",Approved,2000,Town where Hathor was chief goddess. (Name changed from Dendera Facula.)
[Dendera Facula],Ganymede,114.00,0.00,257.00,"Planetographic, +West, 0 - 360",Dropped,1985,Town where Hathor was chief goddess. Name changed to Dendera.
Diment,Ganymede,40.00,23.14,351.77,"Planetographic, +West, 0 - 360",Approved,1979,Egyptian goddess of the dwelling place of the dead.
Dukug Sulcus,Ganymede,385.00,83.70,2.50,"Planetographic, +West, 0 - 360",Approved,1985,Sumerian holy cosmic chamber of the gods.
Ea,Ganymede,20.00,17.72,148.73,"Planetographic, +West, 0 - 360",Approved,1997,"Assyro-babylonian god of water, wisdom, and the earth."
Edfu Facula,Ganymede,184.00,25.70,147.10,"Planetographic, +West, 0 - 360",Approved,1985,Egyptian town where Horus was worshipped.
El,Ganymede,55.00,1.01,151.36,"Planetographic, +West, 0 - 360",Approved,1997,"“;Father of Men“;, existed before the birth of gods."
Elam Sulci,Ganymede,1500.00,60.00,200.00,"Planetographic, +West, 0 - 360",Approved,1985,"Ancient Babylonian seat of sun worship, in present-day Iran."
Enki Catena,Ganymede,160.00,38.84,13.86,"Planetographic, +West, 0 - 360",Approved,1997,Principal water god of the Apsu.
Enkidu,Ganymede,122.00,-26.61,325.13,"Planetographic, +West, 0 - 360",Approved,1982,Friend of Gilgamesh.
Enlil,Ganymede,34.60,55.36,312.10,"Planetographic, +West, 0 - 360",Approved,1979,"Assyro-Babylonian; nature god of the air, hurricanes, and nature."
En-zu,Ganymede,5.00,11.59,168.40,"Planetographic, +West, 0 - 360",Approved,1997,Babylonian moon god.
Epigeus,Ganymede,343.00,22.96,180.65,"Planetographic, +West, 0 - 360",Approved,1997,Phoenician god.
Erech Sulcus,Ganymede,953.00,-7.30,179.20,"Planetographic, +West, 0 - 360",Approved,1985,Akkadian town that was built by Marduk.
Erichthonius,Ganymede,31.00,-15.32,175.26,"Planetographic, +West, 0 - 360",Approved,1997,Possible father of Ganymede.
Eshmun,Ganymede,98.00,-17.45,192.12,"Planetographic, +West, 0 - 360",Approved,1979,Phoenician; divinity of Sidon.
Etana,Ganymede,46.00,74.74,340.35,"Planetographic, +West, 0 - 360",Approved,1979,Assyro-Babylonian; asked the eagle for an herb to give him an heir.
Gad,Ganymede,72.00,-13.56,137.56,"Planetographic, +West, 0 - 360",Approved,1985,Semitic god of fate or good fortune.
Galileo Regio,Ganymede,4439.00,45.00,127.00,"Planetographic, +West, 0 - 360",Approved,1979,Italian astronomer (1564-1642).
Geb,Ganymede,60.00,56.41,182.65,"Planetographic, +West, 0 - 360",Approved,1985,Heliopolis Earth god.
Geinos,Ganymede,56.00,18.64,219.44,"Planetographic, +West, 0 - 360",Approved,1985,Tyre; god of brick making.
Gilgamesh,Ganymede,153.00,-62.84,124.83,"Planetographic, +West, 0 - 360",Approved,1979,Assyro-Babylonian; sought immortality after Enkidu died.
Gir,Ganymede,73.00,34.05,145.75,"Planetographic, +West, 0 - 360",Approved,1985,Sumerian god of summer heat.
Gula,Ganymede,38.00,64.15,12.30,"Planetographic, +West, 0 - 360",Approved,1979,Assyro-Babylonian; health god.
Gushkin,Ganymede,40.50,20.75,45.98,"Planetographic, +West, 0 - 360",Approved,"Jul 09, 2016","Gushkin-Banda, Sumerian patron god of goldsmiths."
Halieus,Ganymede,90.00,34.45,167.14,"Planetographic, +West, 0 - 360",Approved,1985,Tyre; fisherman god.
Hammamat Patera,Ganymede,45.00,-24.23,318.10,"Planetographic, +West, 0 - 360",Approved,"Mar 02, 2015","Wadi in Egypt, associated with petroglyphs and ancient mining."
Hamra Patera,Ganymede,43.00,-77.35,171.37,"Planetographic, +West, 0 - 360",Approved,"Mar 02, 2015","Wadi in Jordan, associated with red sandstone cliffs and ancient copper mines."
Hapi,Ganymede,96.00,-30.57,212.66,"Planetographic, +West, 0 - 360",Approved,1988,Egyptian god of the Nile.
Harakhtes,Ganymede,108.00,35.95,100.26,"Planetographic, +West, 0 - 360",Approved,2000,"“;Horus of the Two Horizons“;, form of Egyptian god Horus who represents the path of the sun."
